43.7-1.62i	6.794+17.88i	72.51+0.8931i	79.56-0.05188i
-0.2593-0.0001916i	1.152-15.86i	96.8+142.4i	91.97+172.4i
-0.2586+1.613e-06i	4.85+23.24i	90.24+54.91i	95.76+91.78i
-0.2573-8.624e-06i	0.728+12.98i	92.34-16.43i	93.56+3.087i
-0.2561+1.712e-05i	0.6091+6.518i	9.513-0.6276i	9.22-0.4806i
-0.2492-1.088e-05i	0.6108+6.3i	4.338+37.27i	1.815+34.28i
-0.2439+2.654e-06i	3.307+7.375i	94.93+60.13i	92.22+55.84i
-0.2407+0.0001438i	0.549+1.334i	96.49+125.6i	177.2+89.02i
-0.24+9.665e-06i	82.55-25.2i	97.7+216.3i	175.8+218.4i
-0.2384+4.866e-06i	2.321-27.49i	54.16+35.55i	54.2+59.27i
-0.2343+6.324e-06i	1.22-0.2398i	88.12-0.6447i	82.68+0.5574i
-0.2274+0.00562i	1.679-2.411i	79.19+6.019i	78.48+5.311i
-0.2261-0.005513i	0.3361-2.958i	95.68+1.74i	93.57+2.583i
-0.2286+2.16e-06i	1.126-2.675i	61.52+5.545i	65.1+4.927i
-0.2256-0.0002408i	1.107+9.763i	85.93-51.32i	87.55-45.63i
-0.2187-0.0001342i	0.3011+1.568i	40.33-0.5769i	41.58-0.4679i
-0.2188+5.074e-05i	0.2552+1.864i	59.68+0.1247i	59.97+0.04028i
-0.22-0.0001797i	0.622+0.8057i	88.9+4.255i	88.27-1.027i
-0.2125+1.586e-06i	0.6831+5.154i	126.3-4.666i	128.4-8.177i
-0.001098+8.115e-06i	2.439+5.135i	138-29.18i	127.6-11.67i
-0.0006322+1.407e-06i	5.824+1.279i	72.86+9.996i	75.64+10.05i
0.0001407+1.625e-06i	2.987+0.4879i	131.6-1.424i	134.5-1.557i
4.222e-05+7.402e-07i	2.441-0.6518i	125.6-25.9i	126.7-27.58i
-0.211+1.755e-06i	1.725-7.517i	92.47-11.38i	92.35-15.46i
-0.205+3.232e-05i	0.9757+3.235i	112.1-94.36i	93.14-70.85i
-0.2043+7.632e-06i	18.98-32.53i	22.4-75.35i	5.07-49.84i
-0.2032+4.965e-09i	1.133-12.76i	177.6+69.89i	178.7+61.07i
-0.2018+2.93e-06i	0.5105-5.421i	153.3+0.9529i	158.3+0.5468i
-0.201+1.916e-06i	0.003238+2.039i	90.66-46.11i	90.31-43.45i
-0.1962+3.858e-06i	0.8099-2.193i	8.015-0.471i	8.7-0.1083i
-0.1918+6.962e-06i	0.4146-0.756i	40.13+23.19i	35.9+26.45i
-0.1917-9.182e-06i	1.712-4.597i	137.3-3.23i	158.9-1.223i
-0.1886-5.541e-06i	1.461+6.372i	131.5+62i	129.6+53.58i
-0.1881+3.358e-07i	2.965+15.7i	86.89+49.46i	25.68-130.8i
-0.1875+1.982e-06i	114.1-77.9i	0.6647-22.95i	113.8-90.54i
-0.1874+1.743e-05i	0.1708+5.979i	87.89+95.91i	89.48+117.1i
-0.1866+2.53e-06i	0.783+8.256i	178.1+24.02i	175.7+38.22i
-0.1832+4.723e-07i	1.598-6.906i	152.5+5.21i	158.5-0.7136i
-0.1831+2.515e-06i	1.476-8.652i	93.4-0.879i	80.16+24.88i
-0.182-1.48e-07i	175.2+14.64i	169.9-59.05i	17.23+92.17i
-0.1805-4.041e-05i	8.892+44.31i	173.4-63.2i	163.8-111.6i
-0.1805+2.089e-05i	2.534-5.433i	89.93-94.38i	89.53-106.2i
