43.699-1.6198i,43.705-1.62i,43.71-1.6202i,43.716-1.6204i,43.721-1.6205i
-0.028458-6.1103e-05i,-0.024127+6.6322e-05i,-0.024136+6.5919e-05i,-0.022532+0.0011493i,-0.022529+0.0011405i
-0.027654+7.9411e-07i,-0.022538+0.0011679i,-0.023567+0.00029033i,-0.024146+6.5491e-05i,-0.024155+6.5042e-05i
-0.026807+1.9624e-05i,-0.02357+0.00028555i,-0.022535+0.0011585i,-0.023565+0.00029493i,-0.022456-0.0010193i
-0.024119+6.6697e-05i,-0.022464-0.0010424i,-0.023584-0.00022995i,-0.023584-0.00023356i,-0.023563+0.00029935i
-0.023573+0.00028055i,-0.023585-0.00022616i,-0.022461-0.0010344i,-0.022459-0.0010266i,-0.023584-0.00023699i
-0.02254+0.0011775i,-0.020016+0.00114i,-0.020021+0.001131i,-0.020026+0.001122i,-0.020031+0.0011131i
-0.023586-0.00022214i,-0.019949-0.001098i,-0.019954-0.0010894i,-0.019958-0.0010808i,-0.019963-0.0010723i
-0.022466-0.0010506i,-0.017648+5.8431e-06i,-0.021363-0.00017033i,-0.018991+0.00042654i,-0.017722+4.2672e-06i
-0.020011+0.0011491i,-0.017371+0.00024915i,-0.021028+1.7571e-06i,-0.017699+4.7426e-06i,-0.018987+0.00042481i
-0.019944-0.0011067i,-0.017329-0.00023966i,-0.018996+0.00042848i,-0.018664+1.8177e-05i,-0.018667+1.7435e-05i
-0.017323-0.00023968i,-0.019002+0.00043068i,-0.019001-0.00036503i,-0.018996-0.00036314i,-0.018993-0.00036144i
-0.017365+0.00024841i,-0.018656+1.9906e-05i,-0.018661+1.9002e-05i,-0.021035+3.0868e-06i,-0.021043+4.8038e-06i
-0.01762+6.4794e-06i,-0.019005-0.00036715i,-0.017674+5.266e-06i,-0.021348-0.00015253i,-0.021328-0.00013599i
-0.019008+0.00043318i,-0.022524-0.00023104i,-0.017377+0.00025007i,-0.009217+3.9724e-05i,-0.030611-6.4116e-06i
-0.018651+2.0879e-05i,-0.021375-0.00018769i,-0.017335-0.00023988i,-0.0099183+0.0002181i,-0.0092173+3.9912e-05i
-0.01901-0.00036954i,-0.02102+7.1599e-07i,-0.022532-0.0002283i,-0.0095902-7.9548e-06i,-0.0099147+0.00021387i
-0.022534+0.00024626i,-0.0086953+1.6759e-05i,-0.022552+0.00024172i,-0.0098508-0.00020634i,-0.009584-8.1153e-06i
-0.021013-1.066e-07i,-0.01278+0.0011785i,-0.0099217+0.00022217i,-0.028418+5.6707e-05i,-0.0098461-0.00020281i
-0.021444+0.00012212i,-0.012682-0.0011137i,-0.0095966-7.8212e-06i,-0.012675-0.0011148i,-0.012672-0.0011151i
-0.021384-0.00020401i,-0.0099248+0.00022606i,-0.0098552-0.0002097i,-0.012774+0.0011787i,-0.012771+0.0011786i
-0.022515-0.00023283i,-0.0098594-0.00021286i,-0.012679-0.0011143i,-0.028426-5.9864e-05i,-0.028415-5.8463e-05i
-0.008703+1.5244e-05i,-0.0096032-7.7138e-06i,-0.012777+0.0011787i,-0.029185+1.6607e-05i,-0.029192+1.6485e-05i
-0.012784+0.0011783i,-0.010335+0.0002922i,-0.010342+0.00029433i,-0.027656+8.9944e-07i,-0.027656+9.2382e-07i
-0.012686-0.001113i,-0.03028+6.456e-06i,-0.030591-1.1177e-05i,-0.026759+2.0535e-05i,-0.026746+2.086e-05i
-0.0099276+0.00022974i,-0.029164+1.6004e-05i,-0.019145+1.0623e-05i,-0.01734-0.00024029i,-0.017345-0.00024081i
-0.0098634-0.00021581i,-0.028448-6.1213e-05i,-0.021451+8.7447e-05i,-0.017383+0.0002511i,-0.017388+0.0002522i
-0.00961-7.632e-06i,-0.028441+5.7915e-05i,-0.022739+1.9641e-05i,-0.02254-0.00022458i,-0.022567+0.00023253i
-0.010329+0.00028982i,-0.027655+8.3497e-07i,-0.02843+5.7553e-05i,-0.022723+1.9949e-05i,-0.022709+2.0509e-05i
-0.030282+1.1901e-05i,-0.02679+1.9914e-05i,-0.028437-6.0786e-05i,-0.026152+8.1016e-05i,-0.022546-0.00021983i
-0.030207+5.9919e-06i,-0.019148+1.0514e-05i,-0.027656+8.6995e-07i,-0.02256+0.00023776i,-0.025741-0.00017556i
-0.029152+1.5533e-05i,-0.019832+5.8095e-05i,-0.029175+1.6398e-05i,-0.019142+1.0708e-05i,-0.019828+6.1765e-05i
-0.028451+5.7753e-05i,-0.021447+0.00010539i,-0.026773+2.0218e-05i,-0.021458+6.8836e-05i,-0.025553+1.4051e-05i
-0.019151+1.0371e-05i,-0.022543+0.00024452i,-0.019829+5.9379e-05i,-0.019828+6.0604e-05i,-0.01914+1.0775e-05i
-0.019835+5.676e-05i,-0.022757+1.9521e-05i,-0.030196+1.0799e-05i,-0.025725-0.00018256i,-0.021469+5.1153e-05i
-0.022777+1.9538e-05i,-0.027867-2.5569e-06i,-0.027865-2.4948e-06i,-0.025542+1.3957e-05i,-0.030168+1.0704e-05i
-0.025672-0.00020189i,-0.02569-0.00019562i,-0.025708-0.0001892i,-0.025734+0.00021966i,-0.029262-5.4417e-06i
-0.025678+0.00023826i,-0.025698+0.00023215i,-0.025531+1.3869e-05i,-0.030182+1.0916e-05i,-0.027861-2.3754e-06i
-0.02787-2.6205e-06i,-0.029265-5.1799e-06i,-0.025716+0.00022598i,-0.029262-5.6336e-06i,-0.02575+0.00021306i
-0.029268-4.7773e-06i,-0.025519+1.3781e-05i,-0.029264-5.4994e-06i,-0.027863-2.4343e-06i,-0.026151-7.0096e-05i
-0.025506+1.3684e-05i,-0.030207+9.3828e-06i,-0.026188-6.5234e-05i,-0.016203+6.1595e-05i,-0.026134+8.3197e-05i
-0.026227-6.0931e-05i,-0.026207-6.2991e-05i,-0.026171+7.8844e-05i,-0.0086815+2.1769e-05i,-0.0086752+2.6098e-05i
-0.026209+7.4888e-05i,-0.02619+7.6771e-05i,-0.01619+6.758e-05i,-0.015299+1.5646e-05i,-0.016217+5.5844e-05i
-0.026188+6.0237e-06i,-0.026166+5.7019e-06i,-0.0086882+1.8835e-05i,-0.014822+1.5594e-05i,-0.015307+1.5877e-05i
-0.016167+7.9083e-05i,-0.016178+7.3474e-05i,-0.015292+1.5442e-05i,-0.010349+0.00029631i,-0.010355+0.0002982i
-0.016126-6.6315e-05i,-0.016131-6.0758e-05i,-0.014821+1.5558e-05i,-0.014211-1.7319e-05i,-0.014229-1.6196e-05i
-0.015282+1.514e-05i,-0.015286+1.5272e-05i,-0.014192-1.8668e-05i,-0.010323+9.3265e-06i,-0.014822+1.5614e-05i
-0.014815+1.5453e-05i,-0.014818+1.5511e-05i,-0.010337+9.3585e-06i,-0.010318-0.00027867i,-0.010308+9.3071e-06i
-0.010301-0.0002735i,-0.010351+9.4166e-06i,-0.010312-0.00027717i,-0.013732+2.427e-05i,-0.010324-0.00028004i
-0.010363+9.5227e-06i,-0.010307-0.00027547i,-0.01372+2.2636e-05i,-0.01338+0.00027159i,-0.013745+2.5496e-05i
-0.014148-2.2457e-05i,-0.014171-2.0331e-05i,-0.013391+0.0002577i,-0.013368-0.00022564i,-0.013365-0.00023842i
-0.010797+2.9987e-05i,-0.010802+3.1037e-05i,-0.010808+3.2116e-05i,-0.010816+3.3289e-05i,-0.010824+3.4655e-05i
-0.013705+1.8315e-05i,-0.01371+2.0578e-05i,-0.01337-0.00020963i,-0.013303+1.2326e-05i,-0.01337+0.00028265i
-0.011133-2.2855e-06i,-0.013402+0.00024059i,-0.011103-4.9716e-06i,-0.011088-5.9053e-06i,-0.013316+1.1502e-05i
-0.011199+2.9676e-05i,-0.011119-3.8572e-06i,-0.0112+3.1758e-05i,-0.011201+3.2199e-05i,-0.011202+3.2436e-05i
-0.011636-0.00010364i,-0.0112+3.099e-05i,-0.011647-9.5422e-05i,-0.011652-9.051e-05i,-0.011071-6.8734e-06i
-0.013414+0.00021995i,-0.013369-0.00018998i,-0.011707+0.00010948i,-0.011715+0.00010103i,-0.011657-8.5156e-05i
-0.011697+0.00012431i,-0.011642-9.9818e-05i,-0.011719+4.8668e-05i,-0.011708+5.0399e-05i,-0.011725+9.5327e-05i
-0.013365-0.00016655i,-0.011701+0.00011749i,-0.01329+1.3397e-05i,-0.012936-3.9402e-05i,-0.011695+4.8955e-05i
-0.011734+4.5645e-05i,-0.013277+1.4797e-05i,-0.012558+3.2219e-05i,-0.012559+3.3929e-05i,-0.012935-3.8846e-05i
-0.013264+1.6626e-05i,-0.011728+4.6856e-05i,-0.012711+7.6453e-05i,-0.012705+7.5848e-05i,-0.012699+7.5257e-05i
-0.012559+2.8775e-05i,-0.012937-4.0706e-05i,-0.012936-4.0019e-05i,-0.026169-6.7619e-05i,-0.01256+3.5625e-05i
-0.012725+7.7765e-05i,-0.012718+7.7086e-05i,-0.026145+5.3016e-06i,-0.026125+4.8696e-06i,-0.026105+4.4432e-06i
-0.012938-4.1477e-05i,-0.012558+3.05e-05i,-0.015004+1.4685e-05i,-0.016139-4.8926e-05i,-0.016141-4.3174e-05i
-0.014957+1.5538e-05i,-0.014981+1.5122e-05i,-0.016135-5.4896e-05i,-0.015026+1.4236e-05i,-0.015048+1.3786e-05i
-0.015878+0.00011486i,-0.015875+0.00010925i,-0.015873+0.00010307i,-0.015872+9.6587e-05i,-0.015872+9.0192e-05i
-0.015868-9.4884e-05i,-0.015864-8.5789e-05i,-0.015862-7.3884e-05i,-0.015863-5.4941e-05i,-0.015837-2.7771e-05i
-0.015905-4.572e-06i,-0.015896-7.849e-06i,-0.015886-1.3403e-05i,-0.015873-2.5712e-05i,-0.015886-4.6359e-05i
